-,-,-
14, 0, 1029
38, -36, 1007
-5, -82, 980
4, -27, 1064
4, -27, 1064
10, 18, 1100
47, 33, 1128
61, 6, 1267
61, 6, 1267
57, -5, 1366
62, -2, 1482
62, -2, 1621
74, -33, 1621
-69, -102, 1525
-106, -80, 1285
-66, -70, 1286
-20, -182, 1477
34, -115, 1171
34, -115, 1171
34, -144, 857
0, -186, 762
-28, -356, 770
-115, -408, 789
-100, -489, 329
5, -441, -178
5, -441, -178
94, -677, -394
40, -733, -298
-57, -693, -137
-32, -625, -232
0, -561, -452
36, -629, -508
36, -629, -508
123, -408, -747
123, -390, -736
91, -396, -721
77, -338, -859
90, -286, -928
124, -177, -1050
134, -123, -1100
134, -132, -1194
100, -94, -1088
100, -94, -1088
35, -22, -1079
41, 0, -1125
53, 13, -1132
59, 26, -1114
-,-,-
-28, 110, -963
12, 102, -963
10, 123, -1002
45, 137, -949
45, 137, -949
40, 146, -960
5, 172, -1191
15, 160, -1397
30, 110, -1622
44, 127, -1555
44, 127, -1555
81, 127, -1223
186, 8, -955
149, -62, -1058
98, -13, -1229
-42, 59, -1051
66, -76, -819
66, -76, -819
143, -529, -622
84, -485, -640
-5, -192, -595
-41, -110, -119
-105, -454, -5
-34, -634, 169
-34, -634, 169
-34, -527, 314
-109, -153, 640
-154, 10, 967
-159, -234, 1076
28, -475, 1155
-119, -302, 1290
-118, -79, 1269
-118, -79, 1269
-148, 18, 1068
1, -187, 1249
11, -299, 1243
-109, -120, 1259
-139, -51, 1225
-56, 0, 1004
-32, -52, 1071
-32, -52, 1071
-19, -161, 1244
-68, -90, 1243
-61, -18, 1045
-,-,-
67, -26, 985
67, -26, 985
117, -14, 999
135, -27, 993
161, -24, 1041
118, -12, 1007
118, -12, 1007
76, 8, 1019
99, 9, 1068
117, 9, 1073
117, 9, 1073
131, 16, 1112
174, 14, 1162
215, 8, 1285
215, 8, 1285
227, 0, 1387
256, -43, 1434
308, -16, 1491
137, -45, 1503
196, -87, 1547
196, -87, 1547
266, -88, 1170
209, -129, 866
379, -104, 845
362, -251, 663
310, -190, 385
283, -376, -12
283, -376, -12
281, -443, -81
239, -347, -148
229, -215, -341
311, -266, -477
113, -269, -788
15, -193, -1176
78, -135, -1392
396, -181, -948
396, -181, -948
100, -62, -1052
117, -28, -992
201, 10, -1240
382, -34, -1288
132, -16, -1358
6, -57, -1062
-61, -46, -951
74, -75, -941
-,-,-
33, -36, -922
-50, -8, -981
-50, -8, -981
-2, -36, -974
-26, -39, -921
29, -51, -948
-28, -46, -967
-91, -26, -957
-91, -26, -957
-119, -4, -980
-85, -3, -1037
-108, -5, -1046
-125, -5, -1100
-121, 0, -1222
-76, -28, -1483
-176, -33, -1648
-207, -51, -1510
-96, -80, -1153
-96, -80, -1153
29, -144, -646
207, -196, -904
353, -194, -639
470, -235, -572
406, -266, -236
349, -214, -83
306, -201, -92
423, -237, 66
423, -237, 66
556, -275, 360
583, -305, 957
497, -246, 998
355, -165, 639
286, -141, 557
286, -141, 557
507, -104, 958
430, -110, 1161
391, -38, 1271
508, -38, 1102
472, 40, 1228
351, 119, 1241
351, 119, 1241
192, 115, 1030
97, 114, 1090
166, 68, 1097
140, 74, 1188
-,-,-
179, 0, 1001
179, 0, 1001
159, 13, 1045
188, 16, 1035
238, 13, 979
243, 10, 965
243, 10, 965
