-,-,-
173, 1562, 1022
24, 1959, 1291
24, 1959, 1291
192, 1997, 1422
617, 1997, 1242
1001, 1821, 1044
1247, 1380, 1034
1480, 833, 999
1483, 332, 691
1423, -206, 531
1321, -556, 390
1148, -689, 274
1148, -689, 274
1061, -792, 358
1134, -1065, 752
980, -1217, 552
899, -1375, 270
-,-,-
-618, 199, 205
-806, 777, 309
-1098, 1504, -95
-1194, 1983, -1046
-618, 1997, -1787
65, 1780, -1997
839, 1197, -1986
1646, 268, -1524
1997, -841, -856
1997, -1643, -399
1891, -1789, -362
1326, -1490, -571
1057, -1310, -488
1129, -1439, -508
1264, -1654, -597
1456, -1794, -368
1499, -1903, -360
1477, -1968, -781
-,-,-
1088, -1169, -490
1246, -1465, -491
1663, -1935, -634
1997, -1998, -604
1997, -1998, -1163
1997, -1998, -1211
1847, -799, -221
1847, -799, -221
1300, -80, -243
818, 376, -262
472, 631, -188
239, 666, -326
159, 605, -323
36, 644, -138
-,-,-
-800, -1121, -194
-1252, -1263, -28
-1683, -1241, -53
-1991, -1063, -258
-1722, -1175, -250
-1194, -1225, 477
-939, -888, 904
-754, -388, 752
-418, -26, 708
240, -74, 779
910, -287, 454
910, -287, 454
1425, -503, -81
1713, -710, -445
1742, -840, -88
1564, -834, -53
1302, -806, -254
-,-,-
1035, -1107, 87
1539, -1224, 345
1539, -1224, 345
1591, -1086, -241
1682, -910, -506
1747, -819, -502
1457, -604, -470
1045, -365, -190
547, -202, 85
-39, -207, 115
-444, -355, 283
-663, -546, 282
-1027, -656, 293
-1261, -764, 633
-1222, -955, 820
-,-,-
-34, -858, -164
59, -1103, -52
335, -1688, -61
1104, -1998, -238
1478, -1998, -990
1640, -1998, -1657
1624, -1998, -1188
1452, -1846, -563
1223, -1019, -238
1080, -371, -63
1018, 7, 245
870, 247, 451
537, 438, 455
327, 459, 608
327, 459, 608
264, 360, 751
161, 329, 775
-,-,-
-873, 1122, 781
-855, 1342, 1174
-659, 1335, 1490
-661, 1494, 1545
-352, 1451, 970
223, 1083, 545
880, 372, 582
880, 372, 582
1257, -319, 820
1324, -794, 611
1411, -1345, 182
1148, -1680, -76
734, -1732, -179
512, -1845, -315
329, -1942, -267
320, -1976, 205
-,-,-
-997, 394, 313
-997, 394, 313
-1167, 826, 279
-1050, 976, -751
-766, 922, -1350
-733, 1092, -1636
-657, 1278, -1945
-47, 1214, -1997
755, 828, -1997
1366, 185, -1997
1763, -519, -1794
1891, -1031, -1225
1902, -1626, -709
1686, -1969, -266
1304, -1946, -82
948, -1832, 101
-,-,-
-692, -912, 248
-999, -1282, 232
-1748, -1778, -948
-1998, -1989, -1673
-1871, -1974, -1914
-1062, -1706, -1966
-222, -1143, -1475
496, -756, -776
722, -460, -205
807, -350, 376
858, -346, 573
674, -278, 431
504, -209, 286
504, -209, 286
-,-,-
-642, 1653, 1305
-318, 1774, 1713
-10, 1670, 1720
-18, 1664, 1552
56, 1626, 1313
56, 1626, 1313
282, 1400, 1227
690, 1008, 1113
1072, 526, 970
1191, 86, 827
1120, -204, 787
1161, -492, 711
1151, -838, 435
1151, -838, 435
922, -1058, 378
628, -1113, 350
500, -1178, 192
330, -1254, 43
197, -1340, 39
-,-,-
-683, 161, 337
-837, 503, 156
-999, 818, -238
-1037, 944, -929
-868, 945, -1033
-560, 804, -1102
-354, 602, -1679
-86, 466, -1997
637, -88, -1951
1053, -713, -1980
1138, -1048, -1753
1058, -1259, -1383
982, -1481, -1298
917, -1614, -1155
764, -1534, -960
608, -1410, -869
625, -1397, -823
709, -1471, -779
-,-,-
-264, 676, 433
-139, 692, 608
-139, 692, 608
-15, 703, 547
193, 614, 628
396, 482, 653
725, 207, 532
1065, -152, 554
1065, -152, 554
1260, -571, 566
1355, -950, 466
1185, -1139, 475
874, -1209, 334
835, -1456, 185
745, -1628, 73
675, -1741, 136
614, -1701, 357
486, -1698, 392
551, -1763, 353
551, -1763, 353
563, -1736, 301
-,-,-
-944, 210, -937
-931, 383, -1097
-879, 591, -1416
-879, 591, -1416
-716, 697, -1667
-489, 753, -1688
-309, 772, -1636
-188, 725, -1678
105, 537, -1589
325, 347, -1529
479, 148, -1230
717, -213, -919
836, -532, -766
873, -780, -515
863, -995, -309
898, -1174, -180
839, -1265, -210
719, -1337, -386
775, -1423, -429
-,-,-
1300, -1718, -735
1570, -1990, -797
1849, -1998, -831
1996, -1998, -717
1997, -1998, -828
1996, -1980, -919
1829, -1542, -608
1424, -960, -329
1040, -521, -92
772, -269, 132
529, -100, 159
301, 37, 116
61, 191, 179
-264, 320, 99
-264, 320, 99
-474, 320, -72
-,-,-
-483, 841, 852
-157, 906, 887
146, 826, 979
439, 715, 1118
439, 715, 1118
674, 551, 921
983, 271, 631
1233, -92, 675
1270, -341, 845
1239, -578, 727
1188, -763, 549
1188, -763, 549
1165, -994, 393
1164, -1265, 512
1074, -1425, 396
928, -1450, 373
744, -1399, 410
544, -1333, 410
562, -1430, 319
606, -1549, 114
602, -1581, 99
413, -1439, 45
-,-,-
-723, 336, -102
-733, 572, -367
-665, 854, -433
-507, 1032, -789
-182, 1029, -1143
260, 908, -1365
673, 687, -1711
953, 383, -1720
1129, -121, -1347
1507, -934, -761
1935, -1724, -263
1728, -1932, -296
1346, -1833, -373
1207, -1809, -232
1085, -1753, -183
1021, -1677, -227
-,-,-
-379, 1007, 1007
-309, 1051, 1052
-256, 1102, 1374
-137, 1112, 1538
52, 1003, 1346
199, 866, 1107
275, 756, 1057
384, 608, 1058
384, 608, 1058
598, 330, 1014
821, 20, 931
916, -251, 726
822, -477, 513
788, -672, 377
788, -672, 377
832, -872, 295
-,-,-
-397, 958, 119
-397, 958, 119
256, 689, -48
955, -77, -1022
1237, -834, -1350
1334, -1359, -988
1249, -1801, -747
1083, -1983, -314
833, -1998, -208
675, -1978, -156
434, -1775, -229
183, -1510, -254
152, -1371, -342
144, -1262, -542
167, -1211, -695
-,-,-
-624, 233, -1214
-770, 504, -1316
-799, 812, -1306
-919, 1181, -1395
-909, 1327, -1554
-654, 1163, -1663
-291, 782, -1711
178, 222, -1551
447, -278, -1670
665, -525, -1588
837, -550, -1319
968, -495, -804
-,-,-
-69, 1044, 960
64, 1017, 1023
64, 1017, 1023
222, 1018, 1082
285, 1088, 1179
551, 912, 1103
775, 525, 1037
712, 286, 835
718, 10, 649
718, 10, 649
817, -442, 490
1030, -1079, 580
1101, -1558, 550
1071, -1846, 702
869, -1949, 448
-,-,-
-979, 872, 18
-888, 997, -136
-474, 1010, -130
-90, 938, -809
323, 657, -1386
770, 166, -1463
767, -268, -1822
863, -895, -1591
1032, -1593, -1019
1053, -1986, -951
1147, -1998, -1143
-,-,-
-292, 1573, 917
-292, 1573, 917
-178, 1708, 1081
-25, 1805, 1041
251, 1814, 945
863, 1377, 647
1485, 502, 656
1682, -225, 917
1701, -906, 381
1777, -1704, 130
1607, -1998, 363
1365, -1988, 375
-,-,-
-642, 540, 187
-497, 871, 289
-502, 1173, -25
-333, 1313, -424
13, 1180, -733
375, 993, -901
843, 624, -933
843, 624, -933
919, 286, -1160
911, -203, -1107
1121, -887, -814
1381, -1623, -607
1484, -1997, -748
-,-,-
-400, 1629, 0
-400, 1629, 0
-215, 1598, 317
50, 1441, 456
246, 1178, 489
420, 896, 526
420, 896, 526
555, 501, 744
876, 29, 1026
1383, -642, 1314
1574, -1239, 1563
1463, -1620, 1774
-,-,-
-629, 870, -288
-447, 1035, -325
-447, 1035, -325
-207, 1118, -381
3, 1107, -628
395, 924, -750
679, 673, -683
771, 413, -694
1023, -104, -511
1252, -672, -313
1348, -1154, -225
1443, -1672, -434
1653, -1997, -550
-,-,-
-45, 1997, 1322
32, 1997, 1417
32, 1997, 1417
265, 1959, 1232
465, 1795, 902
671, 1644, 1214
760, 1464, 1223
844, 1206, 891
1093, 840, 791
1249, 370, 898
1249, 370, 898
1379, -210, 620
-,-,-
-354, 1997, -984
569, 1918, -80
1067, 1321, 20
982, 623, -1005
1269, -449, -662
1640, -1697, -16
1997, -1998, -143
1997, -1998, -940
1997, -1998, -1160
-,-,-
310, 1334, 1295
348, 1334, 981
602, 1033, 395
837, 624, 127
967, 148, 105
967, 148, 105
1126, -551, -232
1519, -1703, -208
1561, -1998, -405
1237, -1998, -937
-,-,-
-793, 1997, -1256
-692, 1971, -1481
-469, 1625, -1087
183, 879, -1057
183, 879, -1057
943, -287, -1483
1422, -1652, -1713
1845, -1998, -1758
-,-,-
-635, 1941, -765
-575, 1727, -867
-475, 1499, -1127
-600, 1123, -1494
-860, 1095, -1770
-381, 334, -1942
626, -1134, -1997
1855, -1998, -1997
1997, -1998, -1997
-,-,-
-1300, 1808, -971
-1448, 1993, -1789
-1192, 1902, -1915
-757, 1490, -1970
-53, 574, -1971
423, -452, -1988
674, -1260, -1997
963, -1901, -1993
1260, -1998, -1950
-,-,-
-195, 1997, 858
3, 1997, 1005
3, 1997, 1005
366, 1976, 929
680, 1612, 827
1046, 931, 548
1496, -5, 373
1846, -764, 524
1821, -1142, 868
1322, -1509, 1297
1136, -1955, 1514
-,-,-
-513, 1843, -281
-190, 1672, -399
345, 1313, 7
345, 1313, 7
858, 851, 455
1296, 228, 463
1378, -290, 263
1437, -895, 307
1591, -1707, 147
1859, -1998, -118
1997, -1998, -578
-,-,-
-526, 1293, -637
-499, 1115, -816
-499, 1115, -816
-335, 844, -853
-40, 459, -750
6, 220, -959
172, -107, -1097
603, -726, -1301
1149, -1631, -1365
1608, -1998, -1384
1949, -1998, -1359
-,-,-
-874, 1455, -574
-871, 1446, -901
-557, 1221, -1186
-319, 995, -1364
-101, 767, -1459
-101, 767, -1459
112, 338, -1573
326, -296, -1486
747, -1097, -1684
1169, -1925, -1875
1268, -1998, -1997
-,-,-
-906, 1863, -694
-710, 1930, -1067
-460, 1810, -1932
-520, 1620, -1997
-459, 1154, -1996
-146, 416, -1981
72, -155, -1997
89, -418, -1997
297, -567, -1997
519, -735, -1959
-,-,-
-143, 1997, 1545
138, 1995, 1542
354, 1883, 1480
489, 1685, 1436
774, 1228, 1269
774, 1228, 1269
1039, 730, 1022
1309, 233, 1137
1523, -308, 1290
1493, -654, 1203
1218, -707, 699
-,-,-
-1166, 1257, -1545
-1479, 1610, -1661
-930, 1522, -1189
39, 1165, -718
728, 684, -853
633, 367, -1163
528, 44, -1253
559, -397, -1260
635, -848, -1177
624, -1140, -1121
674, -1326, -1109
379, -1403, -1132
-,-,-
-15, -1000, 47
3, -1012, 195
-41, -1009, 237
-88, -968, 207
-51, -979, 130
-27, -992, 67
-27, -992, 67
-42, -981, 114
-50, -968, 210
-7, -982, 173
-28, -976, 93
-28, -976, 93
-29, -974, 141
-2, -998, 190
-36, -1000, 277
-32, -995, 267
-13, -1000, 209
-22, -1001, 166
-22, -1001, 166
-42, -998, 164
-30, -1004, 130
-4, -1006, 114
-32, -982, 94
-32, -982, 100
-15, -993, 138
-21, -987, 189
-21, -987, 189
-35, -966, 182
-38, -963, 170
-13, -983, 163
-8, -999, 180
-12, -1005, 204
-12, -1007, 203
-12, -1007, 203
-35, -994, 181
-46, -996, 153
-,-,-
85, -1066, 77
107, -1240, -66
209, -1496, 132
318, -1713, 474
287, -1818, 235
238, -1963, -228
326, -1998, -132
417, -1998, -112
372, -1969, -139
307, -1695, 26
163, -1335, -11
163, -1335, -11
153, -1087, -119
168, -842, -89
103, -591, -136
44, -401, -217
-80, -139, -160
-274, 180, -8
-365, 428, 11
-365, 428, 11
-408, 546, -108
-427, 622, -201
-502, 657, -21
-468, 608, 352
-272, 451, 395
-144, 312, -83
-144, 312, -83
-30, 222, -348
54, 94, -100
310, -129, 178
635, -360, -307
786, -565, -609
795, -753, -503
808, -907, -225
808, -907, -225
1018, -1116, 10
1342, -1434, -374
1471, -1763, -379
1456, -1977, -39
-,-,-
802, -1348, -328
948, -1652, -255
1275, -1973, 241
1371, -1998, -279
1277, -1998, -616
1315, -1998, -197
1282, -1890, -296
1112, -1599, -481
877, -1264, -379
848, -1017, -249
744, -738, -192
-,-,-
-218, 216, 653
-218, 216, 653
-340, 502, 1192
-177, 589, 1349
0, 649, 1543
-30, 729, 1541
162, 671, 1612
131, 678, 1747
131, 678, 1747
182, 668, 1832
283, 572, 1790
255, 495, 1379
305, 333, 1152
486, 117, 1224
664, -210, 1117
664, -210, 1117
780, -562, 881
810, -734, 909
693, -734, 979
643, -757, 883
505, -762, 893
659, -844, 937
-,-,-
-225, -566, -525
94, -680, 395
144, -699, 761
144, -699, 761
-171, -510, -10
-238, -458, -269
-296, -411, 138
-337, -295, 192
-310, -210, -61
-225, -200, -171
-261, -131, 77
-116, -164, 420
191, -306, 173
188, -369, -400
188, -369, -400
-2, -246, -44
183, -222, 465
509, -406, -105
716, -559, -396
895, -674, -8
1061, -788, -33
-,-,-
919, -1133, -24
882, -1068, -41
898, -1186, 301
1497, -1598, 545
1725, -1523, 899
1346, -882, 1156
993, -488, 997
1027, -433, 1091
947, -108, 1341
435, 473, 1474
435, 473, 1474
409, 498, 1029
525, 469, 769
213, 854, 1093
-290, 1206, 1369
-,-,-
-194, 489, 879
-305, 791, 835
-358, 1060, 1295
-202, 1111, 1405
-106, 1068, 745
-111, 1080, 887
161, 997, 1151
384, 758, 944
384, 758, 944
362, 605, 829
442, 581, 770
510, 587, 839
769, 409, 1204
1035, 32, 1217
1035, 32, 1217
-,-,-
-66, 192, 34
-315, 395, -142
-315, 395, -142
-381, 598, 254
-307, 605, 375
-188, 567, 73
15, 488, 30
150, 484, 12
150, 484, 12
223, 461, -251
290, 491, -104
928, 247, 284
1879, -636, -51
1997, -1337, -571
1956, -1325, -44
-,-,-
-212, 439, 738
-96, 457, 1048
-142, 532, 508
-180, 617, 118
-97, 669, 587
-97, 669, 587
82, 721, 706
53, 942, 573
-15, 1229, 72
-15, 1229, 72
-6, 1431, 85
210, 1555, 226
737, 1506, 377
940, 1561, 426
1734, 1312, 623
1997, 533, 709
-,-,-
1997, -1233, 837
1997, -1191, 627
1997, -1339, 115
1997, -1221, 1181
1997, -705, 1041
1997, -311, 738
1997, -439, 776
1997, -54, 76
1997, -54, 76
1997, 450, 291
1949, 875, 574
1220, 1211, 458
-,-,-
-374, -18, 1118
-137, -5, 907
-137, -5, 907
-94, 224, 616
-324, 410, 779
28, 99, 731
473, -243, 611
473, -243, 611
320, -9, 897
300, 294, 137
437, 307, -58
577, 271, 520
883, 212, 505
883, 212, 505
965, 233, 483
737, 407, 636
1124, 401, 247
1951, -312, -270
-,-,-
-142, 812, 615
-253, 1198, 664
-254, 1545, 1067
-394, 1958, 861
-432, 1997, 818
60, 1788, 733
60, 1788, 733
472, 1277, 673
735, 883, 841
1111, 377, 674
1615, -298, 716
1597, -639, 1152
-,-,-
828, -1252, 99
1875, -1957, 939
1875, -1957, 939
1997, -1998, 387
1997, -1998, -964
1997, -1998, -109
1997, -1998, 96
1997, -1998, -323
1997, -1913, -510
1997, -1156, -567
-,-,-
26, 506, 372
-410, 1035, 114
-496, 1433, 589
-191, 1637, 823
-119, 1788, 74
69, 1833, 170
949, 1425, 410
949, 1425, 410
1725, 1043, 289
1997, 140, -236
1997, -1271, 176
1997, -1868, 528
-,-,-
132, 220, -955
242, 0, -314
242, 0, -314
593, -205, -1142
283, -250, -1828
398, -593, -307
934, -1320, -786
1075, -1536, -1940
1212, -1586, -1997
1445, -1463, -1992
1467, -1202, -1997
1414, -647, -1891
549, 314, -1994
667, 373, -1116
585, 429, -899
483, 595, -1348
105, 974, -1481
-262, 1241, -457
-187, 1114, -338
-,-,-
-104, -321, -452
-104, -321, -452
57, -295, 678
12, -131, 707
-146, 70, -286
-165, 253, -177
143, 368, 383
198, 462, 209
198, 462, 209
186, 564, -306
223, 633, -563
-,-,-
110, -833, 309
110, -833, 309
-194, -976, 2
-343, -1314, -108
-99, -1701, 337
86, -1974, 846
-317, -1998, 580
-912, -1952, 371
-1226, -1591, 424
-1023, -1188, 496
-744, -888, -34
-387, -621, -316
260, -437, -309
901, 72, 346
-,-,-
1983, -767, -262
1966, -602, -547
1997, -811, 52
1997, -770, -217
1997, -947, -561
1997, -540, -83
1600, -348, -136
978, -537, -152
500, -745, -210
-,-,-
-523, 146, 204
-538, 478, 861
-75, 567, 1623
-262, 1043, 1990
-334, 1351, 1497
-298, 1627, 1962
-278, 1807, 1985
-278, 1807, 1985
-512, 1991, 1650
-258, 1940, 1307
188, 1804, 1366
879, 1328, 961
1762, 507, 730
1997, -89, 508
-,-,-
50, -1133, 744
30, -1407, 113
-140, -1673, -334
-428, -1890, 460
-407, -1998, 754
-65, -1998, 445
-274, -1881, -50
-856, -1147, -323
-1339, -288, 76
-,-,-
1711, -1998, 299
1758, -1998, -795
1997, -1998, -884
1997, -1998, -19
1997, -1998, -158
1997, -1987, 266
1911, -1529, 10
1748, -930, -85
1408, -209, -292
687, 419, -128
453, 569, -35
453, 569, -35
-,-,-
261, -172, 1137
240, -156, 1414
105, 126, 1238
-208, 572, 1002
-115, 880, 1689
-44, 1193, 1971
-172, 1481, 1011
-512, 1904, 946
-512, 1904, 946
-852, 1997, 886
-746, 1997, 366
-348, 1866, 606
360, 1403, 581
1424, 587, 529
1994, -314, 1010
-,-,-
819, -1787, -266
711, -1781, 375
922, -1838, 294
1073, -1988, 309
1293, -1998, -82
1378, -1998, -449
1363, -1998, -539
1340, -1998, -555
1483, -1998, -618
1378, -1764, -779
-,-,-
-73, -538, -519
-260, -301, -300
-194, -139, 953
-223, -76, 559
-223, -76, -271
-560, 177, -271
-614, 445, 196
-612, 655, 78
-444, 725, -169
-537, 1027, 0
-495, 1293, -13
338, 1041, 29
338, 1041, 29
1129, 585, 188
1738, 79, -46
-,-,-
808, -1085, -752
727, -1324, -488
1129, -1630, 827
1962, -1996, 348
1997, -1998, -1099
1985, -1998, -869
1997, -1943, -260
1997, -1605, -129
1970, -1210, 83
1625, -701, 7
1351, -211, -49
-,-,-
454, 184, 921
591, 435, 1295
343, 857, 1560
-113, 1406, 1353
-248, 1709, 1158
-220, 1877, 1702
-90, 1779, 1487
-90, 1779, 1487
123, 1564, 959
229, 1319, 656
77, 1182, 733
-,-,-
904, -1095, -536
928, -1202, -424
1550, -1581, 181
1921, -1924, -225
1972, -1906, -570
1747, -1739, -281
1667, -1593, 71
1625, -1403, 5
-,-,-
965, -918, -130
953, -290, 265
494, 703, -516
494, 703, -516
266, 1576, -528
-113, 1997, -63
58, 1997, 247
175, 1761, 352
400, 806, -125
682, -734, -491
